rank,show name,IMDb page link,IMDb rating,# of ratings,genre,airing years,rating system,top casts
69,Steins;Gate(2011),http://imdb.com/title/tt1910272/,8.7,52000,"Animation, Comedy, Drama",2011–2015,TV-14,"Mamoru Miyano, Asami Imai, Kana Hanazawa, Ashly Burch, Trina Nishimura, J. Michael Tatum, Tomokazu Seki, Tyson Rinehart, Cherami Leigh, Yukari Tamura, Saori Gotô, Yû Kobayashi, Masaki Terasoma, Jessica Cavanagh, Christopher Sabat, Lindsay Seidel, Haruko Momoi, Ayano Yamamoto"
70,Dragon Ball Z(1989),http://imdb.com/title/tt0121220/,8.7,74000,"Animation, Action, Adventure",1989–1996,TV-PG,"Jôji Yanami, Kyle Hebert, Masako Nozawa, Sean Schemmel, Christopher Sabat, Mayumi Tanaka, Sonny Strait, Stephanie Nadolny, Toshio Furukawa, Ryô Horikawa, Hiromi Tsuru, Tiffany Vollmer, Mike McFarland, Cynthia Cranz, Hirotaka Suzuoki, Daisuke Gôri, Takeshi Kusao, Tôru Furuya"
71,BoJack Horseman(2014),http://imdb.com/title/tt3398228/,8.7,130000,"Animation, Comedy, Drama",2014–2020,TV-MA,"Will Arnett, Amy Sedaris, Alison Brie, Aaron Paul, Paul F. Tompkins, Adam Conover, Keith Olbermann, Diedrich Bader, Kristen Schaal, Patton Oswalt, Raphael Bob-Waksberg, Aparna Nancherla, J.K. Simmons, Stanley Tucci, Wendie Malick, Angela Bassett, Rami Malek, Stephanie Beatriz"
72,Rome(2005),http://imdb.com/title/tt0384766/,8.7,162000,"Action, Drama, History",2005–2007,TV-MA,"Kevin McKidd, Ray Stevenson, Polly Walker, Kerry Condon, James Purefoy, Ian McNeice, Coral Amiga, Lindsay Duncan, Lidia Biondi, Tobias Menzies, Nicholas Woodeson, David Bamber, Chiara Mastalli, Manfredi Aliquo, Indira Varma, Suzanne Bertish, Max Pirkis, Lee Boardman"
73,Dragon Ball Z(1996),http://imdb.com/title/tt0214341/,8.7,120000,"Animation, Action, Adventure",1996–2003,TV-PG,"Doc Harris, Christopher Sabat, Scott McNeil, Sean Schemmel, Terry Klassen, Brian Drummond, Sonny Strait, Stephanie Nadolny, Don Brown, Tiffany Vollmer, Dale Kelly, Cathy Weseluck, Jillian Michaels, Kyle Hebert, Michael Dobson, Kirby Morrow, Ted Cole, Cynthia Cranz"
74,Curb Your Enthusiasm(2000),http://imdb.com/title/tt0264235/,8.7,111000,Comedy,2000– ,TV-MA,"Larry David, Cheryl Hines, Jeff Garlin, Susie Essman, J.B. Smoove, Richard Lewis, Ted Danson, Bob Einstein, Ashly Holloway, Shelley Berman, Antoinette Spolar, Vivica A. Fox, Carla Jeffery, Nick Nervies, Ann Ryerson, Wanda Sykes, Ellia English, Richard Kind"
75,"I, Claudius(1976)",http://imdb.com/title/tt0074006/,8.7,17000,"Biography, Drama, History",1976,Not Rated,"Derek Jacobi, John Hurt, Siân Phillips, Brian Blessed, George Baker, Margaret Tyzack, James Faulkner, Patricia Quinn, Patrick Stewart, Fiona Walker, Kevin McNally, Bernard Hepton, Sheila White, John Cater, Frances White, David Robb, Freda Dowie, Roger Bizley"
76,Invincible(2021),http://imdb.com/title/tt6741278/,8.7,92000,"Animation, Action, Adventure",2021– ,TV-MA,"Steven Yeun, J.K. Simmons, Sandra Oh, Zazie Beetz, Grey Griffin, Kevin Michael Richardson, Walton Goggins, Gillian Jacobs, Zachary Quinto, Andrew Rannells, Jason Mantzoukas, Khary Payton, Chris Diamantopoulos, Melise, Mark Hamill, Ross Marquand, Clancy Brown, Fred Tatasciore"
77,Oz(1997),http://imdb.com/title/tt0118421/,8.7,94000,"Crime, Drama, Thriller",1997–2003,TV-MA,"Ernie Hudson, J.K. Simmons, Lee Tergesen, Dean Winters, George Morfogen, Terry Kinney, Rita Moreno, Harold Perrineau, Eamonn Walker, Craig muMs Grant, Luna Lauren Velez, Granville Adams, Tom Mardirosian, Kirk Acevedo, BD Wong, Chuck Zito, Philip Scozzarella, Scott William Winters"
78,Vinland Saga(2019),http://imdb.com/title/tt10233448/,8.7,23000,"Animation, Action, Adventure",2019– ,TV-MA,"Zach Aguilar, Ryan Bartley, Dawn Michelle Bennett, Christopher Bevins, Edward Bosco, Kira Buckland, Griffin Burns, Ray Chase, Sean Chiplock, SungWon Cho, Allegra Clark, Lee Cohen, Debi Derryberry, Ben Diskin, Lucien Dodge, D.C. Douglas, Jessica Gee-George, Grant George"
79,Fleabag(2016),http://imdb.com/title/tt5687612/,8.7,123000,"Comedy, Drama",2016–2019,TV-MA,"Phoebe Waller-Bridge, Sian Clifford, Olivia Colman, Jenny Rainsford, Bill Paterson, Brett Gelman, Andrew Scott, Hugh Skinner, Ben Aldridge, Hugh Dennis, Jamie Demetriou, Kae Alexander, Anthony Welsh, Ray Fearon, David Hargreaves, Christian Hillborg, Angus Imrie, Christopher Colquhoun"
80,Leyla and Mecnun(2011),http://imdb.com/title/tt1831164/,8.7,92000,"Adventure, Comedy, Drama",2011–2021,TV-PG,"Ali Atay, Serkan Keskin, Ahmet Mümtaz Taylan, Osman Sonant, Cengiz Bozkurt, Köksal Engür, Ege Tanman, Nalan Kuruçim, Alican Akman, Burak Aykurt, Engin Günay, Neslihan Aker, Istar Gökseven, Sebahat Adalar, Safak Pekdemir, Mehmet Usta, Güliz Gençoglu, Ipek Türktan"
81,Arrested Development(2003),http://imdb.com/title/tt0367279/,8.7,288000,Comedy,2003–2019,TV-14,"Jason Bateman, Michael Cera, Portia de Rossi, Will Arnett, Alia Shawkat, Tony Hale, David Cross, Jeffrey Tambor, Jessica Walter, Ron Howard, Henry Winkler, John Beard, Liza Minnelli, Mae Whitman, Justin Grant Wade, Ed Begley Jr., Isla Fisher, Maria Bamford"
82,Stranger Things(2016),http://imdb.com/title/tt4574334/,8.6,919000,"Drama, Fantasy, Horror",2016– ,TV-14,"Millie Bobby Brown, Finn Wolfhard, Winona Ryder, David Harbour, Gaten Matarazzo, Caleb McLaughlin, Natalia Dyer, Charlie Heaton, Joe Keery, Cara Buono, Noah Schnapp, Sadie Sink, Priah Ferguson, Joe Chrest, Dacre Montgomery, Maya Hawke, Brett Gelman, Rob Morgan"
83,Aspirants(2021),http://imdb.com/title/tt14392248/,8.6,286000,Drama,2021– ,2021– ,"Naveen Kasturia, Shivankit Singh Parihar, Abhilash Thapliyal, Sunny Hinduja, Namita Dubey, Kuljeet Singh, Bijou Thaangjam, Abhishek Solanki, Neetu Jhanjhi, Nupur Nagpal, Rahul Bharadwaj, Arpit Bhatia, Darius Chinoy, Udit Kulshrestha, Preeti Agarwal Mehta, Abhishek Yadav, Lokesh Agarwal, Himansh Ahuja"
84,Six Feet Under(2001),http://imdb.com/title/tt0248654/,8.6,127000,"Comedy, Drama",2001–2005,TV-MA,"Peter Krause, Michael C. Hall, Frances Conroy, Lauren Ambrose, Freddy Rodríguez, Mathew St. Patrick, Rachel Griffiths, Justina Machado, Jeremy Sisto, Brenna Tosh, Bronwyn Tosh, James Cromwell, Lili Taylor, Ben Foster, Joanna Cassidy, Richard Jenkins, Giancarlo Rodriguez, Ed O'Ross"
85,The Marvelous Mrs. Maisel(2017),http://imdb.com/title/tt5788792/,8.6,91000,"Comedy, Drama",2017– ,TV-MA,"Rachel Brosnahan, Alex Borstein, Michael Zegen, Marin Hinkle, Tony Shalhoub, Matilda Szydagis, Nunzio Pascale, Matteo Pascale, Kevin Pollak, Brian Tarantina, Joel Johnstone, Caroline Aaron, Bailey De Young, Cynthia Darlow, Luke Kirby, Jane Lynch, LeRoy McClain, Zachary Levi"
86,The Adventures of Sherlock Holmes(1984),http://imdb.com/title/tt0086661/,8.6,21000,"Crime, Drama, Mystery",1984–1985,TV-PG,"Jeremy Brett, David Burke, Rosalie Williams, Eric Porter, Tenniel Evans, David Gwillim, Gayle Hunnicutt, Norman Jones, Jeremy Kemp, Rosalind Knight, Barbara Wilshere, Joss Ackland, Nicholas Clay, Rosalie Crutchley, Charles Gray, Roger Hammond, Betsy Brantley, John Castle"
87,South Park(1997),http://imdb.com/title/tt0121955/,8.6,345000,"Animation, Comedy",1997– ,TV-MA,"Trey Parker, Matt Stone, Isaac Hayes, Mona Marshall, April Stewart, Adrien Beard, Eliza Schneider, Jennifer Howell, Jessica Makinson, Mary Kay Bergman, Omaira Coromoto Rivero, Sergio Sáez, Kyle McCulloch, John 'Nancy' Hansen, Vernon Chatman, Elisa Gabrielli, Betty Boogie Parker, Jonathan Kimmel"
88,The Boys(2019),http://imdb.com/title/tt1190634/,8.6,316000,"Action, Crime, Drama",2019– ,TV-MA,"Karl Urban, Jack Quaid, Antony Starr, Erin Moriarty, Dominique McElligott, Jessie T. Usher, Laz Alonso, Chace Crawford, Tomer Capon, Karen Fukuhara, Nathan Mitchell, Colby Minifie, Aya Cash, Claudia Doumit, Elisabeth Shue, Shantel VanSanten, Nneka Elliott, Laila Robins"
89,House of Cards(2013),http://imdb.com/title/tt1856010/,8.6,482000,Drama,2013–2018,TV-MA,"Kevin Spacey, Michel Gill, Robin Wright, Kate Mara, Michael Kelly, Justin Doescher, Derek Cecil, Jayne Atkinson, Nathan Darrow, Mahershala Ali, Boris McGiver, Paul Sparks, Molly Parker, Neve Campbell, Jeremy Holm, Marla Aaron Wapner, Nini Le Huynh, Gregory Divers"
90,Succession(2018),http://imdb.com/title/tt7660850/,8.6,67000,Drama,2018– ,TV-MA,"Nicholas Braun, Brian Cox, Kieran Culkin, Matthew Macfadyen, Alan Ruck, Sarah Snook, Jeremy Strong, Hiam Abbass, Peter Friedman, J. Smith-Cameron, Rob Yang, Arian Moayed, Scott Nicholson, Dagmara Dominczyk, Justine Lupe, David Rasche, Juliana Canfield, Natalie Gold"
91,One Piece(1999),http://imdb.com/title/tt0388629/,8.6,87000,"Animation, Action, Adventure",1999– ,TV-14,"Mayumi Tanaka, Tony Beck, Laurent Vernin, Akemi Okamura, Kappei Yamaguchi, Kazuya Nakai, Hiroaki Hirata, Ikue Ôtani, Colleen Clinkenbeard, Mahito Ôba, Yuriko Yamaguchi, Chikao Ohtsuka, Kazuki Yao, Luci Christian, Christopher Sabat, Sonny Strait, Eric Vale, Chô"
92,Battlestar Galactica(2004),http://imdb.com/title/tt0407362/,8.6,158000,"Action, Adventure, Drama",2004–2009,TV-14,"Edward James Olmos, Mary McDonnell, Jamie Bamber, James Callis, Tricia Helfer, Grace Park, Katee Sackhoff, Michael Hogan, Aaron Douglas, Tahmoh Penikett, Alessandro Juliani, Kandyse McClure, Bodie Olmos, Donnelly Rhodes, Michael Trucco, Nicki Clyne, Leah Cairns, Rekha Sharma"
93,Justice League Unlimited(2004),http://imdb.com/title/tt6025022/,8.6,13000,"Animation, Action, Adventure",2004–2006,TV-Y7-FV,"George Newbern, Kevin Conroy, Phil LaMarr, Carl Lumbly, Susan Eisenberg, Clancy Brown, Michael Rosenbaum, Maria Canals-Barrera, Kin Shriner, CCH Pounder, Lex Lang, Nicholle Tom, Juliet Landau, Jennifer Hale, Michael Beach, Robert Foxworth, Chris Cox, Powers Boothe"
94,The Thick of It(2005),http://imdb.com/title/tt0459159/,8.6,22000,Comedy,2005–2012,TV-MA,"Chris Addison, James Smith, Peter Capaldi, Joanna Scanlan, Rebecca Front, Roger Allam, Will Smith, Olivia Poulet, Vincent Franklin, Ben Willbond, Polly Kemp, Lucinda Raikes, Chris Langham, Justin Edwards, Tony Gardner, Samantha Harrington, Geoffrey Streatfeild, Alex Macqueen"
95,House M.D.(2004),http://imdb.com/title/tt0412142/,8.6,432000,"Drama, Mystery",2004–2012,TV-14,"Hugh Laurie, Omar Epps, Robert Sean Leonard, Jesse Spencer, Lisa Edelstein, Bobbin Bergstrom, Jennifer Morrison, Peter Jacobson, Olivia Wilde, Kal Penn, Odette Annable, Charlyne Yi, Anne Dudek, Jennifer Crystal Foley, Amber Tamblyn, Liz Benoit, Stephanie Venditto, Sela Ward"
96,The Simpsons(1989),http://imdb.com/title/tt0096697/,8.6,382000,"Animation, Comedy",1989– ,TV-PG,"Dan Castellaneta, Nancy Cartwright, Harry Shearer, Julie Kavner, Yeardley Smith, Hank Azaria, Pamela Hayden, Tress MacNeille, Chris Edgerly, Karl Wiedergott, Maggie Roswell, Russi Taylor, Marcia Wallace, Kevin Michael Richardson, Phil Hartman, Joe Mantegna, Maurice LaMarche, Kelsey Grammer"
97,The Jinx: The Life and Deaths of Robert Durst(2015),http://imdb.com/title/tt4299972/,8.6,42000,"Documentary, Crime, Mystery",2015,TV-14,"Robert Durst, Andrew Jarecki, Gary Napoli, Debra Kay Anderson, Dick DeGuerin, Michael Simon Hall, Kevin J. Hynes, Jeanine Pirro, Charles Bagli, Susan Berman, Cody Cazalas, Chelsea Gonzalez, Jeszenia Jimenez, Gilberte Najamy, Marc Smerling, Ellen Strauss, Eric Rizk, Bobbi Bacha"
98,The Shield(2002),http://imdb.com/title/tt0286486/,8.6,76000,"Crime, Drama, Thriller",2002–2008,TV-MA,"Michael Chiklis, Michael Jace, Jay Karnes, CCH Pounder, Walton Goggins, Benito Martinez, Catherine Dent, Cathy Cahlin Ryan, David Rees Snell, Kenny Johnson, David Marciano, Autumn Chiklis, Paula Garcés, Michele Hicks, Melanie Myers, Joel Rosenthal, Matt Corboy, Chaney Kley"
99,The Crown(2016),http://imdb.com/title/tt4786824/,8.6,176000,"Biography, Drama, History",2016– ,TV-MA,"Claire Foy, Olivia Colman, Imelda Staunton, Matt Smith, Tobias Menzies, Jonathan Pryce, Lesley Manville, Elizabeth Debicki, Dominic West, Charles Edwards, Marion Bailey, Victoria Hamilton, Helena Bonham Carter, Vanessa Kirby, Pip Torrens, Sam Phillips, Erin Doherty, Will Keen"
100,It's a Sin(2021),http://imdb.com/title/tt9140342/,8.6,25000,"Comedy, Drama, History",2021,TV-MA,"Olly Alexander, Nathaniel Curtis, Shaun Dooley, Omari Douglas, Lydia West, Keeley Hawes, Neil Ashton, Callum Scott Howells, Toto Bruin, David Carlyle, Tracy Ann Oberman, Delroy Brown, Shaniqua Okwok, Michelle Greenidge, Andria Doherty, Stephen Fry, Ken Christiansen, David Gregan-Jones"
101,Berserk(1997),http://imdb.com/title/tt0318871/,8.6,33000,"Animation, Action, Adventure",1997–1998,TV-14,"Nobutoshi Canna, Marc Diraison, Carrie Keranen, Kevin T. Collins, Unshô Ishizuka, Jon Avner, Carla Tassara, Yûko Miyamura, Akira Ishida, Tomohiro Nishimura, Toshiyuki Morikawa, Christopher Kromer, Akiko Yajima, Marc Sebastian, Masuo Amada, Jeff Ward, Michelle Newman, Eiji Sekiguchi"
102,The Return of Sherlock Holmes(1986),http://imdb.com/title/tt0090509/,8.6,11000,"Crime, Drama, Mystery",1986–1988,TV-PG,"Jeremy Brett, Edward Hardwicke, Rosalie Williams, Colin Jeavons, Denis Lill, Harry Andrews, Clive Francis, James Hazeldine, Alan Howard, Eric Porter, Eric Sykes, Paul Williamson, Peter Barkworth, Charles Gray, Freddie Jones, Denis Quilley, Patrick Allen, Christopher Benjamin"
103,The Grand Tour(2016),http://imdb.com/title/tt5712554/,8.6,68000,"Comedy, Talk-Show",2016– ,TV-14,"Jeremy Clarkson, James May, Richard Hammond, Abbie Eaton, Mike Skinner, Simon Pegg, David Hasselhoff, Paris Hilton, Kiefer Sutherland, Johan Ackermann, Jimmy Carr, Jérôme d'Ambrosio, John Surtees, Casey Anderson, Michael Ball, Tim Burton, Roger Daltrey, Chris Hoy"
104,Downton Abbey(2010),http://imdb.com/title/tt1606375/,8.6,181000,"Drama, Romance",2010–2015,TV-PG,"Hugh Bonneville, Phyllis Logan, Elizabeth McGovern, Brendan Coyle, Laura Carmichael, Jim Carter, Michelle Dockery, Joanne Froggatt, Robert James-Collier, Sophie McShera, Lesley Nicol, Maggie Smith, Penelope Wilton, Kevin Doyle, Allen Leech, David Robb, Dan Stevens, Siobhan Finneran"
105,Ramayan(1987),http://imdb.com/title/tt0268093/,8.6,18000,"Adventure, Drama, Family",1987–1988,TV-14,"Arun Govil, Deepika Chikhalia, Sunil Lahri, Arvind Trivedi, Dara Singh, Sanjay Jog, Samir Rajda, Shyamsundar Kalani, Vijay Arora, Bal Dhuri, Jayshree Gadkar, Padma Khanna, Rajni Bala, Mukesh Rawal, Nalin Dave, Aparajita, Lalita Pawar, Renu Dhariwal"
106,Line of Duty(2012),http://imdb.com/title/tt2303687/,8.6,50000,"Crime, Drama, Mystery",2012–2021,TV-14,"Martin Compston, Vicky McClure, Adrian Dunbar, Craig Parkinson, Gregory Piper, Aiysha Hart, Maya Sondhi, Keeley Hawes, Nigel Boyle, Polly Walker, Paul Higgins, Anneika Rose, Neil Morrissey, Tomi May, Ace Bhatti, Elizabeth Rider, Tony Pitts, Kelly Macdonald"
107,Mahabharat(1988),http://imdb.com/title/tt0158417/,8.6,16000,"Adventure, Drama, History",1988–1990,TV-14,"Harish Bhimani, Nitish Bharadwaj, Mukesh Khanna, Gajendra Chauhan, Praveen Kumar, Arjun, Roopa Ganguly, Puneet Issar, Pankaj Dheer, Gufi Paintal, Girija Shankar, Surendra Pal, Renuka Israni, Nazneen, Virendra Razdan, Vinod Kapoor, Sameer Chitre, Sanjeev Chitre"
108,Deadwood(2004),http://imdb.com/title/tt0348914/,8.6,100000,"Crime, Drama, History",2004–2006,TV-MA,"Timothy Olyphant, Ian McShane, Molly Parker, Brad Dourif, W. Earl Brown, John Hawkes, Paula Malcomson, Dayton Callie, Leon Rippy, William Sanderson, Robin Weigert, Sean Bridgers, Bree Seanna Wall, Jim Beaver, Jeffrey Jones, Kim Dickens, Powers Boothe, Titus Welliver"
109,Top Gear(2002),http://imdb.com/title/tt1628033/,8.6,113000,"Adventure, Comedy, Reality-TV",2002– ,TV-PG,"Jeremy Clarkson, Richard Hammond, James May, The Stig, Ben Collins, Chris Harris, Matt LeBlanc, Rory Reid, Andrew Flintoff, Paddy McGuinness, The Stig, Perry McCarthy, Sabine Schmitz, Jason Dawe, Andy Wilman, Chris Evans, Josh Cohen, Tom Chilton"
110,Star Trek: The Next Generation(1987),http://imdb.com/title/tt0092455/,8.6,109000,"Action, Adventure, Mystery",1987–1994,TV-PG,"Patrick Stewart, Brent Spiner, Jonathan Frakes, LeVar Burton, Marina Sirtis, Michael Dorn, Gates McFadden, Majel Barrett, Wil Wheaton, Colm Meaney, James G. Becker, Denise Crosby, Whoopi Goldberg, Diana Muldaur, Patti Yasutake, Nora Leonhardt, Dennis Madalone, Michelle Forbes"
111,Haikyuu!!(2014),http://imdb.com/title/tt3398540/,8.6,17000,"Animation, Comedy, Drama",2014–2020,TV-14,"Ayumu Murase, Kaito Ishikawa, Yu Hayashi, Satoshi Hino, Miyu Irino, Koki Uchiyama, Sôma Saitô, Nobuhiko Okamoto, Yoshimasa Hosoya, Hiroshi Kamiya, Toshiki Masuda, Bryson Baugus, Greg Cote, Justin Doran, Adam Gibbs, Scott Gibbs, Gabriel Regojo, Leraldo Anzaldua"
112,Atlanta(2016),http://imdb.com/title/tt4288182/,8.6,58000,"Comedy, Drama, Music",2016– ,TV-MA,"Donald Glover, Brian Tyree Henry, LaKeith Stanfield, Zazie Beetz, Khris Davis, RJ Walker, Harold House Moore, Matthew Barnes, Myra Lucretia Taylor, Cranston Johnson, Griffin Freeman, Derrick Haywood, Brandon Hirsch, Diane Sellers, Emmett Hunter, Monique Grant, Dennis L.A. White, Rick Holmes"
113,Lonesome Dove(1989),http://imdb.com/title/tt0096639/,8.6,22000,"Adventure, Drama, Western",1989,TV-14,"Robert Duvall, Tommy Lee Jones, Danny Glover, Diane Lane, Robert Urich, Frederic Forrest, D.B. Sweeney, Ricky Schroder, Anjelica Huston, Chris Cooper, Timothy Scott, Glenne Headly, Barry Corbin, William Sanderson, Barry Tubb, Gavan O'Herlihy, Steve Buscemi, Frederick Coffin"
114,Formula 1: Drive to Survive(2019),http://imdb.com/title/tt8289930/,8.6,29000,"Documentary, Sport",2019– ,TV-MA,"Valtteri Bottas, Will Buxton, Pierre Gasly, Lewis Hamilton, Charles Leclerc, Kevin Magnussen, Sergio Pérez, Daniel Ricciardo, Kimi Räikkönen, Carlos Sainz, Lance Stroll, Max Verstappen, Sebastian Vettel, Esteban Ocon, Lando Norris, George Russell, Toto Wolff, Romain Grosjean"
115,The Bridge(2011),http://imdb.com/title/tt1733785/,8.6,63000,"Crime, Mystery, Thriller",2011–2018,TV-MA,"Sofia Helin, Rafael Pettersson, Sarah Boberg, Dag Malmberg, Kim Bodnia, Puk Scharbau, Thure Lindhardt, Lars Simonsen, Gabriel Flores Jair, Henrik Lundström, Maria Kulle, Julie Carlsen, Emil Birk Hartmann, Anette Lindbäck, Said William Legue, Kristina Brändén Whitaker, Lotte Munk, Vickie Bak Laursen"
116,Mad Men(2007),http://imdb.com/title/tt0804503/,8.6,220000,Drama,2007–2015,TV-14,"Jon Hamm, Elisabeth Moss, Vincent Kartheiser, January Jones, Christina Hendricks, Aaron Staton, Rich Sommer, John Slattery, Kiernan Shipka, Robert Morse, Christopher Stanley, Jessica Paré, Jay R. Ferguson, Michael Gladis, Bryan Batt, Alison Brie, Jared Harris, Kevin Rahm"
117,Gullak(2019),http://imdb.com/title/tt10530900/,8.6,11000,"Comedy, Drama, Family",2019– ,2019– ,"Jameel Khan, Geetanjali Kulkarni, Vaibhav Raj Gupta, Harsh Mayar, Shivankit Singh Parihar, Sunita Rajwar, Deepak Kumar Mishra, Saad Bilgrami, Ashwini, Ajay Pal, Abhishake Jha, Bilal Khan, Dev Kumar, Amar Singh Parihar, Rudra Pratap Singh Parihar, Gaurav Sarathe, Avinash Bundela, Sweta Joshi"
118,Demon Slayer: Kimetsu no Yaiba(2019),http://imdb.com/title/tt9335498/,8.6,54000,"Animation, Action, Adventure",2019– ,TV-MA,"Natsuki Hanae, Zach Aguilar, Abby Trott, Akari Kitô, Aleks Le, Hiro Shimono, Yoshitsugu Matsuoka, Bryce Papenbrook, Doug Erholtz, Johnny Yong Bosch, Brook Chalmers, Takahiro Sakurai, Saori Hayami, Erika Harlacher, Takumi Yamazaki, Shinya Takahashi, Hôchû Ôtsuka, Reba Buhr"
119,Code Geass(2006),http://imdb.com/title/tt0994314/,8.6,58000,"Animation, Action, Drama",2006–2012,TV-14,"Jun Fukuyama, Takahiro Sakurai, Johnny Yong Bosch, Yukana, Ami Koshimizu, Yuri Lowenthal, Kate Higgins, Karen Strassman, Brian Beacock, Noriaki Sugiyama, Tetsu Shiratori, Akeno Watanabe, Liam O'Brien, Sayaka Ôhara, Kikuko Inoue, Mitsuaki Madono, Kirk Thornton, Deborah Sale Butler"
120,Sarabhai V/S Sarabhai(2004),http://imdb.com/title/tt1518542/,8.6,16000,Comedy,2004–2017,TV-PG,"Satish Shah, Ratna Pathak Shah, Sumeet Raghavan, Rupali Ganguly, Rajesh Kumar, Ghanshyam Nayak, Deven Bhojani, Arvind Vaidya, Shilpa Mehta, Rita Bhaduri, Sheetal Thakkar, Vaibhavi Upadhyay, Aishwarya Sakhuja, Gurpal Singh, Gerald Stone, Aatish Kapadia, Jamnadas Majethia, Meher Acharia-Dar"
121,Blackadder II(1986),http://imdb.com/title/tt0088484/,8.6,45000,Comedy,1986,TV-PG,"Rowan Atkinson, Tony Robinson, Tim McInnerny, Miranda Richardson, Stephen Fry, Patsy Byrne, Tony Aitken, Hugh Laurie, Tom Baker, Holly De Jong, Gabrielle Glaister, Ronald Lacey, Miriam Margolyes, Max Harvey, Simon Jones, Rik Mayall, Cassie Stuart, Bill Wallis"
122,Parks and Recreation(2009),http://imdb.com/title/tt1266020/,8.6,233000,Comedy,2009–2015,TV-14,"Amy Poehler, Jim O'Heir, Nick Offerman, Chris Pratt, Aubrey Plaza, Aziz Ansari, Retta, Rashida Jones, Adam Scott, Rob Lowe, Jay Jackson, Paul Schneider, Ben Schwartz, Mo Collins, Yvans Jourdain, Jon Glaser, Billy Eichner, James Greene"
123,The X-Files(1993),http://imdb.com/title/tt0106179/,8.6,210000,"Crime, Drama, Mystery",1993–2018,TV-14,"David Duchovny, Gillian Anderson, Mitch Pileggi, William B. Davis, Robert Patrick, Tom Braidwood, Bruce Harwood, Dean Haglund, Annabeth Gish, Nicholas Lea, James Pickens Jr., Sheila Larken, Chris Owens, Don S. Williams, Steven Williams, Jerry Hardin, Laurie Holden, Rebecca Toolan"
124,Peep Show(2003),http://imdb.com/title/tt0387764/,8.6,56000,Comedy,2003–2015,TV-MA,"David Mitchell, Robert Webb, Matt King, Olivia Colman, Neil Fitzmaurice, Isy Suttie, Paterson Joseph, Sophie Winkleman, Jim Howick, Rachel Blanchard, Elizabeth Marmur, Vera Graziadei, Camilla Beeput, Emily Bruni, Paul Clayton, Cariad Lloyd, Catherine Shepherd, Endy McKay"
125,Jujutsu Kaisen(2020),http://imdb.com/title/tt12343534/,8.6,31000,"Animation, Action, Adventure",2020– ,TV-MA,"Junya Enoki, Adam McArthur, Yûichi Nakamura, Yuma Uchida, Asami Seto, Mitsuo Iwata, Nobunaga Shimazaki, Tomokazu Seki, Mikako Komatsu, Koki Uchiyama, Jun'ichi Suwabe, Tara Sands, Kenjirô Tsuda, Shigeru Chiba, Takaya Kuroda, Amber Lee Connors, Takahiro Sakurai, Subaru Kimura"
126,Westworld(2016),http://imdb.com/title/tt0475784/,8.6,453000,"Drama, Mystery, Sci-Fi",2016– ,TV-MA,"Evan Rachel Wood, Jeffrey Wright, Ed Harris, Thandiwe Newton, Tessa Thompson, James Marsden, Luke Hemsworth, Angela Sarafyan, Anthony Hopkins, Simon Quarterman, Rodrigo Santoro, Shannon Woodward, Jimmi Simpson, Talulah Riley, Ptolemy Slocum, Leonardo Nam, Ingrid Bolsø Berdal, Ben Barnes"
127,Friday Night Lights(2006),http://imdb.com/title/tt0758745/,8.6,61000,"Drama, Sport",2006–2011,TV-14,"Kyle Chandler, Connie Britton, Zach Gilford, Aimee Teegarden, Brad Leland, Taylor Kitsch, Jesse Plemons, Derek Phillips, Blue Deckert, Minka Kelly, Adrianne Palicki, Timothy F. Crowley, Louanne Stephens, Stacey Oristano, Scott Porter, Gaius Charles, David Cowgill, Gary Teague"
128,Gomorrah(2014),http://imdb.com/title/tt2049116/,8.6,33000,"Crime, Drama, Thriller",2014–2021,TV-MA,"Salvatore Esposito, Marco D'Amore, Cristiana Dell'Anna, Fortunato Cerlino, Ivana Lotito, Fabio De Caro, Cristina Donadio, Christian Giroso, Giovanni Buselli, Arturo Muselli, Alessandro Palladino, Roberto Oliveri, Riccardo Ciccarelli, Carmine Monaco, Lino Musella, Francesco Capriello, Marco Palvetti, Salvatore Vacca"
129,Young Justice(2010),http://imdb.com/title/tt1641384/,8.6,35000,"Animation, Action, Adventure",2010– ,TV-PG,"Danica McKellar, Nolan North, Jesse McCartney, Stephanie Lemelin, Khary Payton, Jason Spisak, Bruce Greenwood, Crispin Freeman, Zehra Fazal, Troy Baker, Kevin Michael Richardson, Masasa Moyo, Grey Griffin, Phil LaMarr, Eric Lopez, Jason Marsden, Yuri Lowenthal, Dee Bradley Baker"
130,Mindhunter(2017),http://imdb.com/title/tt5290382/,8.6,245000,"Crime, Drama, Thriller",2017–2019,TV-MA,"Jonathan Groff, Holt McCallany, Anna Torv, Hannah Gross, Sonny Valicenti, Stacey Roca, Joe Tuttle, Zachary Scott Ross, Cotter Smith, Albert Jones, Lauren Glazier, Michael Cerveris, Dohn Norwood, Gareth Williams, June Carryl, Cameron Britton, Nate Corddry, Sierra Aylina McClain"
